AA, -71, 13:14:44, DD, 20,    -63, 13:14:44, 
AA, -71, 13:14:49, BB, 20,    -74, 13:14:49, 
AA, -71, 13:14:51, CC, 21,    -42, 13:14:49, 
AA, -71, 13:14:51, EE, 20,    -72, 13:14:50, 
AA, -71, 13:14:53, GG, 15,    -61, 13:14:54, 
AA, -71, 13:14:55, DD, 21,    -63, 13:14:56, 
AA, -72, 13:14:59, BB, 21,    -74, 13:15:00, 
AA, -72, 13:15:00, EE, 21,    -72, 13:15:01, 
AA, -71, 13:15:01, CC, 22,    -42, 13:14:59, 
AA, -73, 13:15:02, GG, 16,    -62, 13:15:04, 
AA, -72, 13:15:04, DD, 22,    -63, 13:15:05, 
AA, -72, 13:15:08, BB, 22,    -74, 13:15:08, 
AA, -72, 13:15:09, EE, 22,    -71, 13:15:09, 
AA, -72, 13:15:09, CC, 23,    -43, 13:15:09, 
AA, -73, 13:15:11, GG, 17,    -63, 13:15:13, 
AA, -73, 13:15:13, DD, 23,    -63, 13:15:14, 
AA, -72, 13:15:16, BB, 23,    -74, 13:15:16, 
AA, -71, 13:15:20, EE, 23,    -71, 13:15:20, 
AA, -73, 13:15:20, CC, 24,    -41, 13:15:21, 
AA, -72, 13:15:21, GG, 18,    -62, 13:15:23, 
AA, -72, 13:15:24, BB, 24,    -74, 13:15:25, 
AA, -72, 13:15:25, DD, 24,    -63, 13:15:26, 
AA, -72, 13:15:28, EE, 24,    -71, 13:15:28, 
AA, -73, 13:15:29, CC, 25,    -42, 13:15:29, 
AA, -72, 13:15:30, GG, 19,    -64, 13:15:32, 
AA, -72, 13:15:33, BB, 25,    -73, 13:15:33, 
AA, -73, 13:15:34, DD, 25,    -63, 13:15:34, 
AA, -73, 13:15:37, EE, 25,    -72, 13:15:37, 
AA, -73, 13:15:37, CC, 26,    -42, 13:15:38, 
AA, -72, 13:15:40, GG, 20,    -65, 13:15:42, 
AA, -73, 13:15:41, HH, 21,    -67, 13:15:43, 
AA, -73, 13:15:42, DD, 26,    -63, 13:15:43, 
AA, -72, 13:15:43, FF, 20,    -67, 13:15:44, 
AA, -73, 13:15:44, BB, 26,    -73, 13:15:45, 
AA, -72, 13:15:45, EE, 26,    -72, 13:15:45, 
AA, -72, 13:15:46, CC, 27,    -42, 13:15:48, 
AA, -72, 13:15:51, DD, 27,    -64, 13:15:51, 
AA, -72, 13:15:51, HH, 22,    -66, 13:15:52, 
AA, -72, 13:15:52, FF, 21,    -67, 13:15:52, 
AA, -72, 13:15:52, GG, 21,    -62, 13:15:53, 
AA, -72, 13:15:53, BB, 27,    -72, 13:15:54, 
AA, -71, 13:15:54, EE, 27,    -71, 13:15:53, 
AA, -71, 13:15:56, CC, 28,    -42, 13:15:57, 
AA, -73, 13:15:59, DD, 28,    -63, 13:15:59, 
AA, -72, 13:16:00, HH, 23,    -65, 13:16:01, 
